,stats,aic
81,"ARIMA(0, 1, 0)x(0, 0, 0, 12)",353.40307126620297
82,"ARIMA(0, 1, 0)x(0, 0, 1, 12)",332.86847766616233
83,"ARIMA(0, 1, 0)x(0, 0, 2, 12)",322.78098088355176
84,"ARIMA(0, 1, 0)x(0, 1, 0, 12)",672.5538531948271
85,"ARIMA(0, 1, 0)x(0, 1, 1, 12)",373.5631457621998
86,"ARIMA(0, 1, 0)x(0, 1, 2, 12)",359.42841624191175
87,"ARIMA(0, 1, 0)x(0, 2, 0, 12)",1168.4370819208293
88,"ARIMA(0, 1, 0)x(0, 2, 1, 12)",678.0583431476426
89,"ARIMA(0, 1, 0)x(0, 2, 2, 12)",435.8034840031579
90,"ARIMA(0, 1, 0)x(1, 0, 0, 12)",342.67815307245104
91,"ARIMA(0, 1, 0)x(1, 0, 1, 12)",334.5521196519409
92,"ARIMA(0, 1, 0)x(1, 0, 2, 12)",324.74611521573945
93,"ARIMA(0, 1, 0)x(1, 1, 0, 12)",531.671294542546
94,"ARIMA(0, 1, 0)x(1, 1, 1, 12)",373.2646707013695
95,"ARIMA(0, 1, 0)x(1, 1, 2, 12)",359.99920473880803
96,"ARIMA(0, 1, 0)x(1, 2, 0, 12)",874.3674120351387
97,"ARIMA(0, 1, 0)x(1, 2, 1, 12)",574.4222056747403
98,"ARIMA(0, 1, 0)x(1, 2, 2, 12)",436.2398876988766
99,"ARIMA(0, 1, 0)x(2, 0, 0, 12)",322.24301218227583
100,"ARIMA(0, 1, 0)x(2, 0, 1, 12)",324.239217051257
101,"ARIMA(0, 1, 0)x(2, 0, 2, 12)",326.00202196569705
102,"ARIMA(0, 1, 0)x(2, 1, 0, 12)",475.33078369244663
103,"ARIMA(0, 1, 0)x(2, 1, 1, 12)",353.00568389453053
104,"ARIMA(0, 1, 0)x(2, 1, 2, 12)",354.60306869281084
105,"ARIMA(0, 1, 0)x(2, 2, 0, 12)",752.6414233288973
106,"ARIMA(0, 1, 0)x(2, 2, 1, 12)",520.4701219836759
107,"ARIMA(0, 1, 0)x(2, 2, 2, 12)",437.71658292485586
108,"ARIMA(0, 1, 1)x(0, 0, 0, 12)",82.70012543419475
109,"ARIMA(0, 1, 1)x(0, 0, 1, 12)",71.60875881723894
110,"ARIMA(0, 1, 1)x(0, 0, 2, 12)",71.90518686898653
111,"ARIMA(0, 1, 1)x(0, 1, 0, 12)",384.18392379816555
112,"ARIMA(0, 1, 1)x(0, 1, 1, 12)",109.54513410558184
113,"ARIMA(0, 1, 1)x(0, 1, 2, 12)",104.65482198616974
114,"ARIMA(0, 1, 1)x(0, 2, 0, 12)",886.6450716904691
115,"ARIMA(0, 1, 1)x(0, 2, 1, 12)",408.8862607620803
116,"ARIMA(0, 1, 1)x(0, 2, 2, 12)",180.96168808861123
117,"ARIMA(0, 1, 1)x(1, 0, 0, 12)",79.24182605877205
118,"ARIMA(0, 1, 1)x(1, 0, 1, 12)",73.09431650283236
119,"ARIMA(0, 1, 1)x(1, 0, 2, 12)",73.86203936392104
120,"ARIMA(0, 1, 1)x(1, 1, 0, 12)",245.502763637452
121,"ARIMA(0, 1, 1)x(1, 1, 1, 12)",112.25591441297388
122,"ARIMA(0, 1, 1)x(1, 1, 2, 12)",105.89943043608669
123,"ARIMA(0, 1, 1)x(1, 2, 0, 12)",597.7009849609335
124,"ARIMA(0, 1, 1)x(1, 2, 1, 12)",298.86033146634827
125,"ARIMA(0, 1, 1)x(1, 2, 2, 12)",182.63308522900059
126,"ARIMA(0, 1, 1)x(2, 0, 0, 12)",71.09319146536296
127,"ARIMA(0, 1, 1)x(2, 0, 1, 12)",73.08886189944899
128,"ARIMA(0, 1, 1)x(2, 0, 2, 12)",75.61476780190996
129,"ARIMA(0, 1, 1)x(2, 1, 0, 12)",202.40786047867616
130,"ARIMA(0, 1, 1)x(2, 1, 1, 12)",109.28325226667404
131,"ARIMA(0, 1, 1)x(2, 1, 2, 12)",105.30370030075647
132,"ARIMA(0, 1, 1)x(2, 2, 0, 12)",470.0013797982298
133,"ARIMA(0, 1, 1)x(2, 2, 1, 12)",257.9700244147916
134,"ARIMA(0, 1, 1)x(2, 2, 2, 12)",193.5236531674446
135,"ARIMA(0, 1, 2)x(0, 0, 0, 12)",81.1533743304092
136,"ARIMA(0, 1, 2)x(0, 0, 1, 12)",64.91849932184486
137,"ARIMA(0, 1, 2)x(0, 0, 2, 12)",70.03406715997451
138,"ARIMA(0, 1, 2)x(0, 1, 0, 12)",383.2367903647833
139,"ARIMA(0, 1, 2)x(0, 1, 1, 12)",105.72859549874838
140,"ARIMA(0, 1, 2)x(0, 1, 2, 12)",100.01060852643465
141,"ARIMA(0, 1, 2)x(0, 2, 0, 12)",884.3497430645142
142,"ARIMA(0, 1, 2)x(0, 2, 1, 12)",407.7388623895663
143,"ARIMA(0, 1, 2)x(0, 2, 2, 12)",176.58464059853762
144,"ARIMA(0, 1, 2)x(1, 0, 0, 12)",77.10543031754467
145,"ARIMA(0, 1, 2)x(1, 0, 1, 12)",66.6926383799995
146,"ARIMA(0, 1, 2)x(1, 0, 2, 12)",72.0218647026576
147,"ARIMA(0, 1, 2)x(1, 1, 0, 12)",245.19863096769558
148,"ARIMA(0, 1, 2)x(1, 1, 1, 12)",108.1183000823437
149,"ARIMA(0, 1, 2)x(1, 1, 2, 12)",98.50779258791238
150,"ARIMA(0, 1, 2)x(1, 2, 0, 12)",597.1142211564494
151,"ARIMA(0, 1, 2)x(1, 2, 1, 12)",298.2329219867013
152,"ARIMA(0, 1, 2)x(1, 2, 2, 12)",177.49306384213958
153,"ARIMA(0, 1, 2)x(2, 0, 0, 12)",68.30764326712661
154,"ARIMA(0, 1, 2)x(2, 0, 1, 12)",70.39676353306231
155,"ARIMA(0, 1, 2)x(2, 0, 2, 12)",73.57795471729219
156,"ARIMA(0, 1, 2)x(2, 1, 0, 12)",201.49903816749975
157,"ARIMA(0, 1, 2)x(2, 1, 1, 12)",108.09374744107595
158,"ARIMA(0, 1, 2)x(2, 1, 2, 12)",100.7357134472733
159,"ARIMA(0, 1, 2)x(2, 2, 0, 12)",471.0942990119927
160,"ARIMA(0, 1, 2)x(2, 2, 1, 12)",258.29183443177567
161,"ARIMA(0, 1, 2)x(2, 2, 2, 12)",177.02884621079525
162,"ARIMA(0, 2, 0)x(0, 0, 0, 12)",875.005292062109
163,"ARIMA(0, 2, 0)x(0, 0, 1, 12)",838.4745887798836
164,"ARIMA(0, 2, 0)x(0, 0, 2, 12)",821.3013506681518
165,"ARIMA(0, 2, 0)x(0, 1, 0, 12)",1200.7741719551218
166,"ARIMA(0, 2, 0)x(0, 1, 1, 12)",873.2121844018473
167,"ARIMA(0, 2, 0)x(0, 1, 2, 12)",844.3626516008725
168,"ARIMA(0, 2, 0)x(0, 2, 0, 12)",1688.477286095825
169,"ARIMA(0, 2, 0)x(0, 2, 1, 12)",1182.7387246016913
