,stats,aic
80,"ARIMA(0, 0, 2)x(2, 2, 2, 12)",-368.7568773150681
81,"ARIMA(0, 1, 0)x(0, 0, 0, 12)",-280.2389976229173
82,"ARIMA(0, 1, 0)x(0, 0, 1, 12)",-266.9631982399982
83,"ARIMA(0, 1, 0)x(0, 0, 2, 12)",-267.63948432560073
84,"ARIMA(0, 1, 0)x(0, 1, 0, 12)",60.47794029458962
85,"ARIMA(0, 1, 0)x(0, 1, 1, 12)",-231.63433788636405
86,"ARIMA(0, 1, 0)x(0, 1, 2, 12)",-221.22056735817003
87,"ARIMA(0, 1, 0)x(0, 2, 0, 12)",569.9018608769991
88,"ARIMA(0, 1, 0)x(0, 2, 1, 12)",95.66371565463342
89,"ARIMA(0, 1, 0)x(0, 2, 2, 12)",-148.28950187908592
90,"ARIMA(0, 1, 0)x(1, 0, 0, 12)",-268.06288786488403
91,"ARIMA(0, 1, 0)x(1, 0, 1, 12)",-264.96764418218726
92,"ARIMA(0, 1, 0)x(1, 0, 2, 12)",-265.7702431916216
93,"ARIMA(0, 1, 0)x(1, 1, 0, 12)",-63.540648353679444
94,"ARIMA(0, 1, 0)x(1, 1, 1, 12)",-229.6343392494698
95,"ARIMA(0, 1, 0)x(1, 1, 2, 12)",-221.1831428187661
96,"ARIMA(0, 1, 0)x(1, 2, 0, 12)",307.8765160273632
97,"ARIMA(0, 1, 0)x(1, 2, 1, 12)",-5.752250797400137
98,"ARIMA(0, 1, 0)x(1, 2, 2, 12)",-146.28927037876724
99,"ARIMA(0, 1, 0)x(2, 0, 0, 12)",-269.82337366674085
100,"ARIMA(0, 1, 0)x(2, 0, 1, 12)",-267.8647709280241
101,"ARIMA(0, 1, 0)x(2, 0, 2, 12)",-275.90498568557217
102,"ARIMA(0, 1, 0)x(2, 1, 0, 12)",-122.55770204825743
103,"ARIMA(0, 1, 0)x(2, 1, 1, 12)",-219.06388819509615
104,"ARIMA(0, 1, 0)x(2, 1, 2, 12)",-219.5204417609577
105,"ARIMA(0, 1, 0)x(2, 2, 0, 12)",169.64908634952323
106,"ARIMA(0, 1, 0)x(2, 2, 1, 12)",-62.14677010821575
107,"ARIMA(0, 1, 0)x(2, 2, 2, 12)",-114.94760927692923
108,"ARIMA(0, 1, 1)x(0, 0, 0, 12)",-585.0527847162223
109,"ARIMA(0, 1, 1)x(0, 0, 1, 12)",-572.6369190052962
110,"ARIMA(0, 1, 1)x(0, 0, 2, 12)",-561.1181019188585
111,"ARIMA(0, 1, 1)x(0, 1, 0, 12)",-240.11863031427444
112,"ARIMA(0, 1, 1)x(0, 1, 1, 12)",-518.1577887661181
